nama_mobil,kondisi,harga,tahun_kendaraan,kilometer,warna,mesin_enginecc,bahan_bakar,dirakit,penumpang,pintu,daerah,transmisi
2022 Wuling EV 0.0 Air ev Charging Pile Long Range Hatchback,Mobil Bekas,Rp 189.000.000,2022.0,5 - 10K km,Kuning,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
"Wuling EV ,0 Air ev Long Range thn 2022",Mobil Bekas,Rp 197.000.000,2022.0,9300 km,Lainnya,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 Porsche Taycan 0.0 4S Performance Battery Sedan,Mobil Bekas,Rp 3.600.000.000,2023.0,0 - 5K km,Biru,cc,Electric,Complete Built Up (CBU),4.0,4.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback WULING AIR EV LONG RANGE AT MATIC 2022 PUTIH,Mobil Bekas,Rp 186.500.000,2022.0,10 - 15K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Banten,Automatic
"2022 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Km15rb, Tdp85jt, pjk November 2024, Abu2",Mobil Bekas,Rp 620.000.000,2022.0,15 - 20K km,Abu-abu,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
"2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Km9rb, Tdp87jt, pjk April 2025, Abu",Mobil Bekas,Rp 635.000.000,2023.0,5 - 10K km,Abu-abu,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 190.000.000,2022.0,10 - 15K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 KIA EV6 0.0 GT-Line Wagon,Mobil Bekas,Rp 875.000.000,2023.0,15 - 20K km,Putih,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 225.000.000,2023.0,0 - 5K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Jawa Timur,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 208.000.000,2022.0,5 - 10K km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
"2022 Wuling EV ,0 Air ev Long Range Hatchback",Mobil Bekas,Rp 225.000.000,2022.0,19000 km,Lainnya,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Jawa Barat,Automatic
"Harga Spesial Hyundai Kona 2,0 Signature 2020 AT Wagon",Mobil Bekas,Rp 215.000.000,2020.0,64000 km,Putih,cc,Electric,Complete Built Up (CBU),5.0,5.0,Banten,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 209.000.000,2022.0,5 - 10K km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 215.000.000,2023.0,0 - 5K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 Toyota BZ4X 0.0 Wagon,Mobil Bekas,Rp 890.000.000,2023.0,5 - 10K km,Putih,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 Lexus RZ450e 0.0 Luxury Wagon,Mobil Bekas,Rp 2.200.000.000,2023.0,0 - 5K km,Abu-abu,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback,Mobil Bekas,Rp 219.000.000,2023.0,0 - 5K km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback,Mobil Bekas,Rp 215.000.000,2023.0,0 - 5K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback,Mobil Bekas,Rp 209.000.000,2022.0,5 - 10K km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 210.000.000,2022.0,0 - 5K km,Hijau,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2019 Tesla Model 3 Standard Range Sedan,Mobil Bekas,Rp 1.300.000.000,2019.0,5607 km,Hitam,cc,Electric,Complete Built Up (CBU),5.0,4.0,DKI Jakarta,Automatic
2023 BMW iX 0.0 xDrive40 Sport Wagon,Mobil Bekas,Rp 1.799.000.000,2023.0,5 - 10K km,Hitam,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 BMW iX 0.0 xDrive40 Sport Wagon,Mobil Bekas,Rp 1.699.000.000,2023.0,15 - 20K km,Putih,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 215.000.000,2023.0,0 - 5K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 Wuling EV 0.0 Air ev Long Range Hatchback KM 100 PERAK,Mobil Bekas,Rp 219.000.000,2023.0,0 - 5K km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 209.000.000,2022.0,5 - 10K km,Lainnya,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Porsche Taycan 0.0 4S Performance Battery Sedan,Mobil Bekas,Rp 2.750.000.000,2022.0,0 - 5K km,Biru,cc,Electric,Complete Built Up (CBU),4.0,4.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon gold matte silver km 4 ribuan tgn pertama dari baru,Mobil Bekas,Rp 650.000.000,2023.0,0 - 5K km,Silver,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon gold matte silver km 4 ribuan tangan pertama,Mobil Bekas,Rp 650.000.000,2023.0,0 - 5K km,Silver,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2023 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 235.000.000,2023.0,5 - 10K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Jawa Timur,Automatic
2021 Porsche Taycan 0.0 4S Sedan ATPM Carmine Red Warranty 2025 OTO 888,Mobil Bekas,Rp 3.448.000.000,2021.0,0 - 5K km,Merah,cc,Electric,Complete Built Up (CBU),4.0,4.0,DKI Jakarta,Automatic
2022 Tesla Model Y 0.0 Long Range Wagon,Mobil Bekas,Rp 1.390.000.000,2022.0,5 - 10K km,Biru,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 Wuling EV 0.0 Air ev Long Range Hatchback. (ANTIK KM4RB) WULING AIR EV LONG RANGE 300KM 2023 AT,Mobil Bekas,Rp 219.500.000,2023.0,0 - 5K km,Hijau,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Jawa Barat,Automatic
2022 Tesla Model Y 0.0 Long Range Wagon,Mobil Bekas,Rp 1.390.000.000,2022.0,5 - 10K km,Biru,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 198.000.000,2022.0,5 - 10K km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
"2022 Wuling EV ,0 Air ev Charging Pile Long Range Hatchback",Mobil Bekas,Rp 188.000.000,2022.0,12578 km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Wuling Air EV Long Range AT Galaxy Blue,Mobil Bekas,Rp 209.000.000,2022.0,7000 km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 Wuling Air EV Long Range AT Putih,Mobil Bekas,Rp 215.000.000,2023.0,4000 km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 TIDAK JADI PAKAI !!! Wuling Air EV Long Range AT Galaxy Blue,Mobil Bekas,Rp 219.000.000,2023.0,100 km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Prime Standard Range Wagon LIKE NEW,Mobil Bekas,Rp 665.000.000,2023.0,0 - 5K km,Abu-abu,cc,Electric,Complete Knock Down (CKD),5.0,5.0,Banten,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Silver Matte PROMO TOTAL DP RINGAN 90JT Km 8Rb Super Low Warranty Service TERIMA PAJAK PANJANG,Mobil Bekas,Rp 695.000.000,2023.0,5 - 10K km,Silver,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2023 Wuling Air EV Long Range,Mobil Bekas,Rp 228.000.000,2023.0,0 - 5K km,Lainnya,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Banten,Automatic
2022 Tesla Model Y 0.0 Long Range Wagon,Mobil Bekas,Rp 1.390.000.000,2022.0,5 - 10K km,Biru,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2020 Porsche Taycan 0.0 4S Performance Battery Sedan,Mobil Bekas,Rp 2.750.000.000,2020.0,0 - 5K km,Biru,cc,Electric,Complete Built Up (CBU),4.0,4.0,DKI Jakarta,Automatic
2023 Toyota BZ4X 0.0 Wagon putih km 6 ribuan listrik bebas ganjil genap,Mobil Bekas,Rp 890.000.000,2023.0,5 - 10K km,Putih,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
"2023 Toyota BZ4X ,0 Base Spec Wagon All Wheel Drive Like New",Mobil Bekas,Rp 890.000.000,2023.0,6000 km,Putih,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 Toyota BZ4X 0.0 Wagon Electric KM 6RB,Mobil Bekas,Rp 890.000.000,2023.0,5 - 10K km,Putih,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2022 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Goldmatte,Mobil Bekas,Rp 620.000.000,2022.0,10 - 15K km,Silver,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
Wuling Air EV Long Range AT 2022 Putih KM 2Rb Pajak sd Okt 2024,Mobil Bekas,Rp 205.000.000,2022.0,2000 km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Prime Standard Range Wagon LIKE NEW,Mobil Bekas,Rp 635.000.000,2023.0,0 - 5K km,Abu-abu,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2021 Porsche Taycan 4S Performance Battery Sedan,Mobil Bekas,Rp 3.170.000.000,2021.0,5 - 10K km,Putih,cc,Electric,Complete Built Up (CBU),4.0,4.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback Matic KM Antik Pajak Panjang,Mobil Bekas,Rp 205.000.000,2022.0,0 - 5K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 209.000.000,2022.0,0 - 5K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Charging Pile Long Range Hatchback,Mobil Bekas,Rp 205.000.000,2022.0,2000 km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback KM 4RB,Mobil Bekas,Rp 210.000.000,2022.0,0 - 5K km,Hijau,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Standard Range Signature Wagon,Mobil Bekas,Rp 655.000.000,2023.0,20 - 25K km,Silver,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2023 KIA EV6 0.0 GT-Line Wagon,Mobil Bekas,Rp 875.000.000,2023.0,5 - 10K km,Putih,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2022 [Dp10jt] Wuling Air EV Long Range ISTIMEWA Dijual Di Yogyakarta,Mobil Bekas,Rp 240.000.000,2022.0,4000 km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Yogyakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback PROMO AWAL TAHUN DISCON BESAR DP MURAH GRATIS TEST DRIVE,Mobil Bekas,Rp 213.000.000,2022.0,15 - 20K km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
HYUNDAI KONA EV 2020 WHITE ON BLACK TDP 50JT,Mobil Bekas,Rp 395.000.000,2020.0,41000 km,Putih,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
"2022 Wuling EV 0.0 Air ev Long Range Hatchback PROMO AWAL TAHUN DISCON BESAR, DP MURAH GRATIS TEST DRIVE HOME",Mobil Bekas,Rp 205.000.000,2022.0,0 - 5K km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Jawa Barat,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon,Mobil Bekas,Rp 690.000.000,2023.0,10 - 15K km,Putih,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback AT Kuning,Mobil Bekas,Rp 235.000.000,2022.0,15 - 20K km,Kuning,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Jawa Barat,Automatic
2023 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback,Mobil Bekas,Rp 213.000.000,2023.0,0 - 5K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2021 Hyundai Kona 0.0 Signature Wagon,Mobil Bekas,Rp 385.000.000,2021.0,30 - 35K km,Abu-abu,cc,Electric,Complete Built Up (CBU),5.0,5.0,Banten,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 235.000.000,2022.0,0 - 5K km,Hijau,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Lampung,Automatic
2019 Tesla Model 3 0.0 Standard Range Sedan,Mobil Bekas,Rp 1.000.000.000,2019.0,15 - 20K km,Hitam,cc,Electric,Complete Built Up (CBU),5.0,4.0,Jawa Tengah,Automatic
2022 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback,Mobil Bekas,Rp 240.000.000,2022.0,5 - 10K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Jawa Barat,Automatic
2022 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback (Odo 1 ribu) HARGA CASH BUKAN JEBAKAN KREDIT,Mobil Bekas,Rp 230.000.000,2022.0,0 - 5K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Jawa Timur,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback #Pink #Tgn Pertama #KM 11rb Record #Bisa Kredit,Mobil Bekas,Rp 213.000.000,2022.0,10 - 15K km,Lainnya,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Jawa Timur,Automatic
