Title,Harga,Kondisi,Tahun Kendaraan,Kilometer,Warna,Cakupan mesin,Transmisi,Penumpang,Pintu,Dirakit,Tipe Bahan Bakar
2021 Hyundai IONIQ 0.0 Electric Signature Fastback,Rp 450.000.000,Mobil Bekas,2021,30 - 35K km,Abu-abu,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Wuling EV 0.0 Air ev Standard Range Hatchback LIKE NEW,Rp 180.000.000,Mobil Bekas,2023,0 - 5K km,Kuning,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 TANPA INDENT !!! Kia EV6 GT-Line AWD AT Hitam Metalik,Rp 1.050.000.000,Mobil Bekas,2023,1000 km,Hitam,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2022 Wuling EV 0.0 Air ev Charging Pile Long Range Hatchback,Rp 189.000.000,Mobil Bekas,2022,5 - 10K km,Kuning,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
"Wuling EV ,0 Air ev Long Range thn 2022",Rp 197.000.000,Mobil Bekas,2022,9300 km,Lainnya,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Porsche Taycan 0.0 4S Performance Battery Sedan,Rp 3.600.000.000,Mobil Bekas,2023,0 - 5K km,Biru,cc,Automatic,4,4,Complete Built Up (CBU),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback WULING AIR EV LONG RANGE AT MATIC 2022 PUTIH,Rp 186.500.000,Mobil Bekas,2022,10 - 15K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
"2022 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Km15rb, Tdp85jt, pjk November 2024, Abu2",Rp 620.000.000,Mobil Bekas,2022,15 - 20K km,Abu-abu,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
"2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Km9rb, Tdp87jt, pjk April 2025, Abu",Rp 635.000.000,Mobil Bekas,2023,5 - 10K km,Abu-abu,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 190.000.000,Mobil Bekas,2022,10 - 15K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 KIA EV6 0.0 GT-Line Wagon,Rp 875.000.000,Mobil Bekas,2023,15 - 20K km,Putih,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 225.000.000,Mobil Bekas,2023,0 - 5K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 208.000.000,Mobil Bekas,2022,5 - 10K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
"2022 Wuling EV ,0 Air ev Long Range Hatchback",Rp 225.000.000,Mobil Bekas,2022,19000 km,Lainnya,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
"Harga Spesial Hyundai Kona 2,0 Signature 2020 AT Wagon",Rp 215.000.000,Mobil Bekas,2020,64000 km,Putih,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 209.000.000,Mobil Bekas,2022,5 - 10K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 215.000.000,Mobil Bekas,2023,0 - 5K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Toyota BZ4X 0.0 Wagon,Rp 890.000.000,Mobil Bekas,2023,5 - 10K km,Putih,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Lexus RZ450e 0.0 Luxury Wagon,Rp 2.200.000.000,Mobil Bekas,2023,0 - 5K km,Abu-abu,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback,Rp 219.000.000,Mobil Bekas,2023,0 - 5K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback,Rp 215.000.000,Mobil Bekas,2023,0 - 5K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback,Rp 209.000.000,Mobil Bekas,2022,5 - 10K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 210.000.000,Mobil Bekas,2022,0 - 5K km,Hijau,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2019 Tesla Model 3 Standard Range Sedan,Rp 1.300.000.000,Mobil Bekas,2019,5607 km,Hitam,cc,Automatic,5,4,Complete Built Up (CBU),Electric
2023 BMW iX 0.0 xDrive40 Sport Wagon,Rp 1.799.000.000,Mobil Bekas,2023,5 - 10K km,Hitam,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 BMW iX 0.0 xDrive40 Sport Wagon,Rp 1.699.000.000,Mobil Bekas,2023,15 - 20K km,Putih,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback KM 100 PERAK,Rp 219.000.000,Mobil Bekas,2023,0 - 5K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 209.000.000,Mobil Bekas,2022,5 - 10K km,Lainnya,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon gold matte silver km 4 ribuan tgn pertama dari baru,Rp 650.000.000,Mobil Bekas,2023,0 - 5K km,Silver,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon gold matte silver km 4 ribuan tangan pertama,Rp 650.000.000,Mobil Bekas,2023,0 - 5K km,Silver,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 235.000.000,Mobil Bekas,2023,5 - 10K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2021 Porsche Taycan 0.0 4S Sedan ATPM Carmine Red Warranty 2025 OTO 888,Rp 3.448.000.000,Mobil Bekas,2021,0 - 5K km,Merah,cc,Automatic,4,4,Complete Built Up (CBU),Electric
2022 Tesla Model Y 0.0 Long Range Wagon,Rp 1.390.000.000,Mobil Bekas,2022,5 - 10K km,Biru,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback. (ANTIK KM4RB) WULING AIR EV LONG RANGE 300KM 2023 AT,Rp 219.500.000,Mobil Bekas,2023,0 - 5K km,Hijau,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 198.000.000,Mobil Bekas,2022,5 - 10K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
"2022 Wuling EV ,0 Air ev Charging Pile Long Range Hatchback",Rp 188.000.000,Mobil Bekas,2022,12578 km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling Air EV Long Range AT Galaxy Blue,Rp 209.000.000,Mobil Bekas,2022,7000 km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Wuling Air EV Long Range AT Putih,Rp 215.000.000,Mobil Bekas,2023,4000 km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 TIDAK JADI PAKAI !!! Wuling Air EV Long Range AT Galaxy Blue,Rp 219.000.000,Mobil Bekas,2023,100 km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Prime Standard Range Wagon LIKE NEW,Rp 665.000.000,Mobil Bekas,2023,0 - 5K km,Abu-abu,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Silver Matte PROMO TOTAL DP RINGAN 90JT Km 8Rb Super Low Warranty Service TERIMA PAJAK PANJANG,Rp 695.000.000,Mobil Bekas,2023,5 - 10K km,Silver,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2023 Wuling Air EV Long Range,Rp 228.000.000,Mobil Bekas,2023,0 - 5K km,Lainnya,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Toyota BZ4X 0.0 Wagon putih km 6 ribuan listrik bebas ganjil genap,Rp 890.000.000,Mobil Bekas,2023,5 - 10K km,Putih,cc,Automatic,5,5,Complete Built Up (CBU),Electric
"2023 Toyota BZ4X ,0 Base Spec Wagon All Wheel Drive Like New",Rp 890.000.000,Mobil Bekas,2023,6000 km,Putih,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Toyota BZ4X 0.0 Wagon Electric KM 6RB,Rp 890.000.000,Mobil Bekas,2023,5 - 10K km,Putih,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2022 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Goldmatte,Rp 620.000.000,Mobil Bekas,2022,10 - 15K km,Silver,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
Wuling Air EV Long Range AT 2022 Putih KM 2Rb Pajak sd Okt 2024,Rp 205.000.000,Mobil Bekas,2022,2000 km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Prime Standard Range Wagon LIKE NEW,Rp 635.000.000,Mobil Bekas,2023,0 - 5K km,Abu-abu,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2021 Porsche Taycan 4S Performance Battery Sedan,Rp 3.170.000.000,Mobil Bekas,2021,5 - 10K km,Putih,cc,Automatic,4,4,Complete Built Up (CBU),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback Matic KM Antik Pajak Panjang,Rp 205.000.000,Mobil Bekas,2022,0 - 5K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 209.000.000,Mobil Bekas,2022,0 - 5K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Charging Pile Long Range Hatchback,Rp 205.000.000,Mobil Bekas,2022,2000 km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback KM 4RB,Rp 210.000.000,Mobil Bekas,2022,0 - 5K km,Hijau,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Standard Range Signature Wagon,Rp 655.000.000,Mobil Bekas,2023,20 - 25K km,Silver,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2023 KIA EV6 0.0 GT-Line Wagon,Rp 875.000.000,Mobil Bekas,2023,5 - 10K km,Putih,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2022 [Dp10jt] Wuling Air EV Long Range ISTIMEWA Dijual Di Yogyakarta,Rp 240.000.000,Mobil Bekas,2022,4000 km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback PROMO AWAL TAHUN DISCON BESAR DP MURAH GRATIS TEST DRIVE,Rp 213.000.000,Mobil Bekas,2022,15 - 20K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
HYUNDAI KONA EV 2020 WHITE ON BLACK TDP 50JT,Rp 395.000.000,Mobil Bekas,2020,41000 km,Putih,cc,Automatic,5,5,Complete Built Up (CBU),Electric
"2022 Wuling EV 0.0 Air ev Long Range Hatchback PROMO AWAL TAHUN DISCON BESAR, DP MURAH GRATIS TEST DRIVE HOME",Rp 205.000.000,Mobil Bekas,2022,0 - 5K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon,Rp 690.000.000,Mobil Bekas,2023,10 - 15K km,Putih,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback AT Kuning,Rp 235.000.000,Mobil Bekas,2022,15 - 20K km,Kuning,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback,Rp 213.000.000,Mobil Bekas,2023,0 - 5K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2021 Hyundai Kona 0.0 Signature Wagon,Rp 385.000.000,Mobil Bekas,2021,30 - 35K km,Abu-abu,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 235.000.000,Mobil Bekas,2022,0 - 5K km,Hijau,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2019 Tesla Model 3 0.0 Standard Range Sedan,Rp 1.000.000.000,Mobil Bekas,2019,15 - 20K km,Hitam,cc,Automatic,5,4,Complete Built Up (CBU),Electric
2022 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback,Rp 240.000.000,Mobil Bekas,2022,5 - 10K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback (Odo 1 ribu) HARGA CASH BUKAN JEBAKAN KREDIT,Rp 230.000.000,Mobil Bekas,2022,0 - 5K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback #Pink #Tgn Pertama #KM 11rb Record #Bisa Kredit,Rp 213.000.000,Mobil Bekas,2022,10 - 15K km,Lainnya,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 215.000.000,Mobil Bekas,2022,15 - 20K km,Kuning,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon,Rp 635.000.000,Mobil Bekas,2023,10 - 15K km,Abu-abu,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback AT  Galaxi Blue - LOW KM 7RIBU ASLI SUPER ANTIK - PERFECT CONDITION - LIKE NEW - READY TO USE,Rp 209.000.000,Mobil Bekas,2022,5 - 10K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback putih km 4 ribuan bebas ganjil genap,Rp 215.000.000,Mobil Bekas,2023,0 - 5K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback DP 9JT LOW KM.4RB (Hingga 300KM) LIKE NEW & PAJAK PANJANG DP 15JT #FAST,Rp 207.000.000,Mobil Bekas,2022,0 - 5K km,Lainnya,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback  DP 19JT LOW KM.4RB (Hingga 300KM) LIKE NEW & PAJAK PANJANG DP 15JT #FAST,Rp 207.000.000,Mobil Bekas,2022,0 - 5K km,Lainnya,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 219.000.000,Mobil Bekas,2023,0 - 5K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback DP 9JT LOW KM.4RB (Hingga 300KM) LIKE NEW & PAJAK PANJANG#FAST,Rp 207.000.000,Mobil Bekas,2022,0 - 5K km,Lainnya,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback DP 9JT LOW KM.4RB (Hingga 300KM) LIKE NEW & PAJAK PANJANG #FAST,Rp 207.000.000,Mobil Bekas,2022,0 - 5K km,Lainnya,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 KIA EV6 0.0 GT-Line Wagon hitam km 1 ribuan cash kredit proses bisa dibantu,Rp 1.050.000.000,Mobil Bekas,2023,0 - 5K km,Hitam,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback Wuling Air EV Long Range Matic 2022,Rp 220.000.000,Mobil Bekas,2022,0 - 5K km,Kuning,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback AT Pristine White - LOW KM 4RIBU ASLI SUPER ANTIK - PERFECT CONDITION - LIKE NEW - READY TO USE,Rp 215.000.000,Mobil Bekas,2023,0 - 5K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback AT Galaxi Blue (UNIT BARU TIDAK JADI PAKAI) - LOW KM 100 PERAK ASLI SUPER ANTIK - PERFECT CONDITION,Rp 219.000.000,Mobil Bekas,2023,0 - 5K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback biru km 7 ribuan cash kredit proses bisa dibantu,Rp 209.000.000,Mobil Bekas,2022,5 - 10K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2021 Tesla Model 3 0.0 Standard Range Plus Sedan,Rp 985.000.000,Mobil Bekas,2021,0 - 5K km,Putih,cc,Automatic,5,4,Complete Built Up (CBU),Electric
2023 KIA EV6 0.0 GT-Line Wagon Listrik Antik,Rp 1.050.000.000,Mobil Bekas,2023,0 - 5K km,Hitam,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 198.000.000,Mobil Bekas,2023,5 - 10K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2021 Hyundai Kona 0.0 Signature Wagon PROMO SAMBUT LEBARAN DP MURAH GRATIS TEST DRIVE HOME,Rp 355.000.000,Mobil Bekas,2021,50 - 55K km,Hitam,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback Low KM Seperti Baru,Rp 215.000.000,Mobil Bekas,2023,0 - 5K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback Dijamin Kondisi Seperti Baru,Rp 219.000.000,Mobil Bekas,2023,0 - 5K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback Low Km Like New Modif,Rp 209.000.000,Mobil Bekas,2022,5 - 10K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Standard Range Hatchback,Rp 185.000.000,Mobil Bekas,2022,5 - 10K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback SECOND RASA BARU,Rp 199.000.000,Mobil Bekas,2022,0 - 5K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Charging Pile Long Range Hatchback,Rp 225.000.000,Mobil Bekas,2022,0 - 5K km,Kuning,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 BMW iX 0.0 xDrive40 Sport Wagon Electric White on Black xDrive Putih,Rp 1.650.000.000,Mobil Bekas,2023,0 - 5K km,Putih,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2022 Wuling EV Air ev Long Range Hatchback,Rp 200.000.000,Mobil Bekas,2022,0 - 5K km,Kuning,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Genesis G80 Electric km 3rb,Rp 1.495.000.000,Mobil Bekas,2022,0 - 5K km,Hitam,cc,Automatic,5,4,Complete Built Up (CBU),Electric
